key;type;character;meaning;image;onyomi;kunyomi;important_reading;kana;level
k_料;kanji;料;fee, material;;りょう;;onyomi;;13
k_易;kanji;易;easy;;い, えき;やさ;onyomi;;19
k_間;kanji;間;interval, interval of time, interval of space;;かん, けん;あいだ, ま;onyomi;;8
k_予;kanji;予;beforehand;;よ;あらかじ;onyomi;;9
k_然;kanji;然;nature;;ぜん, ねん;しか, さ;onyomi;;13
k_芸;kanji;芸;acting, art;;げい;;onyomi;;14
k_宿;kanji;宿;lodge;;しゅく;やど;onyomi;;13
k_整;kanji;整;arrange, organize;;せい;ととの;onyomi;;13
k_静;kanji;静;quiet;;せい;しず;onyomi;;18
k_圧;kanji;圧;pressure;;あつ;;onyomi;;20
k_折;kanji;折;fold, bend;;せつ;お;onyomi;;14
k_泣;kanji;泣;cry;;きゅう;な;kunyomi;;15
k_危;kanji;危;dangerous;;き;あぶ, あや;onyomi;;16
k_粘;kanji;粘;sticky;;ねん;ねば;onyomi;;47
k_功;kanji;功;achievement, accomplishment;;こう;;onyomi;;11
k_陽;kanji;陽;sunshine, sunlight;;よう;ひ;onyomi;;12
k_輪;kanji;輪;wheel, ring, loop;;りん;わ;onyomi;;13
k_米;kanji;米;rice, america;;べい, まい;こめ;onyomi;;5
k_争;kanji;争;conflict;;そう;あらそ;onyomi;;11
k_養;kanji;養;foster;;よう;やしな;onyomi;;13
k_像;kanji;像;statue, image;;ぞう;;onyomi;;13
k_情;kanji;情;feeling, emotion;;じょう;なさけ;onyomi;;13
k_謝;kanji;謝;apologize;;しゃ;あやま;onyomi;;13
k_典;kanji;典;rule;;てん;;onyomi;;16
k_浴;kanji;浴;bathe;;よく;あ;onyomi;;16
k_映;kanji;映;reflect, reflection;;えい;うつ, は;onyomi;;13
k_望;kanji;望;hope;;ぼう;のぞ;onyomi;;14
k_材;kanji;材;lumber, material, timber;;ざい;;onyomi;;14
k_返;kanji;返;return;;へん;かえ;onyomi;;9
k_福;kanji;福;luck, fortune;;ふく;;onyomi;;13
k_残;kanji;残;remainder;;ざん;のこ;onyomi;;14
k_被;kanji;被;incur;;ひ;かぶ;onyomi;;20
k_泉;kanji;泉;spring, fountain;;せん;いずみ;onyomi;;12
k_参;kanji;参;participate;;さん, しん;まい;onyomi;;14
k_念;kanji;念;thought;;ねん;;onyomi;;14
k_岩;kanji;岩;boulder;;がん;いわ;kunyomi;;15
k_的;kanji;的;target, al, ~al, like, ~like;;てき;まと;onyomi;;14
k_妨;kanji;妨;obstruct, impede;;ぼう;さまた;onyomi;;20
k_嫌;kanji;嫌;dislike;;けん, げん;いや, きら;onyomi;;20
k_鳴;kanji;鳴;chirp;;めい;な;kunyomi;;10
k_約;kanji;約;promise;;やく;;onyomi;;14
k_技;kanji;技;skill;;ぎ;わざ;onyomi;;14
k_恋;kanji;恋;romance;;れん;こい;onyomi;;17
k_斗;kanji;斗;ladle, dipper, volume;;と;;onyomi;;44
k_落;kanji;落;fall;;らく;お;onyomi;;10
k_求;kanji;求;request;;きゅう;もと;onyomi;;10
k_格;kanji;格;status;;かく;;onyomi;;14
k_選;kanji;選;choose;;せん;えら;onyomi;;13
k_帰;kanji;帰;return, return home;;き;かえ;kunyomi;;15
k_変;kanji;変;change, strange;;へん;か;onyomi;;15
k_絡;kanji;絡;entangle, coil around, entwine;;らく;から;onyomi;;19
k_個;kanji;個;individual;;こ;;onyomi;;20
k_物;kanji;物;thing;;ぶつ, もつ;もの;onyomi;;9
k_春;kanji;春;spring;;しゅん;はる;kunyomi;;15
k_門;kanji;門;gates, gate;;もん;;onyomi;;16
k_原;kanji;原;original, fundamental, field;;げん;はら;onyomi;;17
k_周;kanji;周;circumference;;しゅう;まわ;onyomi;;14
k_関;kanji;関;related, connected;;かん;かか, せき;onyomi;;16
k_減;kanji;減;decrease;;げん;へ;onyomi;;19
k_厚;kanji;厚;thick;;こう;あつ;kunyomi;;20
k_羽;kanji;羽;feather, feathers, wing, wings;;う;はね, は, わ;kunyomi;;5
k_魚;kanji;魚;fish;;ぎょ;さかな;onyomi;;7
k_治;kanji;治;cure, heal, reign, rule;;じ, ち;なお;onyomi;;16
k_笑;kanji;笑;laugh;;しょう;わら, え;kunyomi;;16
k_署;kanji;署;government office, political office, office;;しょ;;onyomi;;17
k_卒;kanji;卒;graduate;;そつ;;onyomi;;14
k_辞;kanji;辞;quit, word;;じ;や;onyomi;;16
k_虫;kanji;虫;insect, bug;;ちゅう, き;むし;kunyomi;;4
k_兵;kanji;兵;soldier;;へい, ひょう;;onyomi;;17
k_座;kanji;座;sit, seat;;ざ;すわ;onyomi;;18
k_検;kanji;検;examine;;けん;;onyomi;;21
k_最;kanji;最;most;;さい;もっと;onyomi;;10
k_頑;kanji;頑;stubborn;;がん;;onyomi;;14
k_漬;kanji;漬;pickle;;し;つ;kunyomi;;57
k_疑;kanji;疑;doubt;;ぎ;うたが;onyomi;;13
k_冒;kanji;冒;dare;;ぼう;おか;onyomi;;16
k_堂;kanji;堂;hall, public chamber;;どう;;onyomi;;17
k_識;kanji;識;discerning, discriminating, know;;しき;;onyomi;;17
k_皆;kanji;皆;all, everyone, everything, everybody;;かい;みな, みんな;kunyomi;;13
k_渉;kanji;渉;ford;;しょう;わた;onyomi;;17
k_官;kanji;官;government;;かん;;onyomi;;17
k_虚;kanji;虚;void;;きょ, こ;むな;onyomi;;17
k_枚;kanji;枚;flat objects counter, flat object, counter for flat objects;;まい;;onyomi;;18
k_順;kanji;順;order, sequence;;じゅん;;onyomi;;19
k_冊;kanji;冊;book counter, counter for books, counter for volumes;;さつ;;onyomi;;19
k_練;kanji;練;practice;;れん;ね;onyomi;;13
k_宙;kanji;宙;midair;;ちゅう;;onyomi;;19
k_暗;kanji;暗;dark;;あん;くら, くれ;onyomi;;13
k_愛;kanji;愛;love;;あい;まな;onyomi;;17
k_焼;kanji;焼;bake, cook, burn;;しょう;や;kunyomi;;18
k_在;kanji;在;exist;;ざい;;onyomi;;20
k_安;kanji;安;relax, cheap;;あん;やす;onyomi;;6
k_夫;kanji;夫;husband;;ふう, ふ;おっと;onyomi;;15
k_読;kanji;読;read;;とう, どく;よ;kunyomi;;10
k_士;kanji;士;samurai;;し;さむらい;onyomi;;13
k_覚;kanji;覚;memorize, awake;;かく;おぼ, さ;onyomi;;17
k_説;kanji;説;theory;;せつ;と;onyomi;;17
k_弓;kanji;弓;bow;;きゅう;ゆみ;onyomi;;18
k_農;kanji;農;farming, agriculture;;のう;;onyomi;;10
k_鼻;kanji;鼻;nose;;び;はな;kunyomi;;17
k_達;kanji;達;attain, plural;;たつ;たち;onyomi;;18
k_賀;kanji;賀;congratulations;;が;;onyomi;;22
k_標;kanji;標;signpost;;ひょう;しるし;onyomi;;13
k_建;kanji;建;build, construct;;けん;た;onyomi;;15
k_類;kanji;類;type, category, kind;;るい;たぐ;onyomi;;18
k_鬼;kanji;鬼;demon;;き;おに;onyomi;;23
k_許;kanji;許;permit, allow;;きょ;ゆる;onyomi;;18
k_加;kanji;加;add;;か;くわ;onyomi;;19
k_盆;kanji;盆;lantern festival, tray;;ぼん;;onyomi;;46
k_慌;kanji;慌;confused, bewildered;;こう;あわ;onyomi;;49
k_告;kanji;告;announce;;こく;つ;onyomi;;18
k_節;kanji;節;season;;せつ;ふし;onyomi;;19
k_宇;kanji;宇;outer space;;う;;onyomi;;19
k_布;kanji;布;cloth;;ふ;ぬの;onyomi;;19
k_閥;kanji;閥;clique, clan;;ばつ;;onyomi;;19
k_穏;kanji;穏;calm;;おん;おだ;onyomi;;46
k_線;kanji;線;line;;せん;;onyomi;;10
k_温;kanji;温;warm;;おん;あたた;onyomi;;12
k_洗;kanji;洗;wash;;せん;あら;onyomi;;18
k_比;kanji;比;compare;;ひ;くら;onyomi;;19
k_利;kanji;利;profit, benefit, advantage;;り;き;onyomi;;11
k_種;kanji;種;kind, type;;しゅ;たね, ぐさ;onyomi;;18
k_歴;kanji;歴;continuation;;れき;へ;onyomi;;19
k_徒;kanji;徒;junior, follower;;と;;onyomi;;19
k_得;kanji;得;acquire;;とく;え, う;onyomi;;19
k_橋;kanji;橋;bridge;;きょう;はし;kunyomi;;13
k_専;kanji;専;specialty;;せん;もっぱ;onyomi;;16
k_仲;kanji;仲;relationship;;ちゅう;なか;kunyomi;;11
k_改;kanji;改;renew;;かい;あらた;onyomi;;19
k_連;kanji;連;take along;;れん;つ, つら;onyomi;;19
k_善;kanji;善;morally good, good;;ぜん;;onyomi;;19
k_機;kanji;機;machine;;き;はた;onyomi;;20
k_余;kanji;余;surplus, excess;;よ;あま;onyomi;;20
k_震;kanji;震;earthquake, quake, shake;;しん;ふる;onyomi;;20
k_尾;kanji;尾;tail;;び;お, ぽ;onyomi;;20
k_械;kanji;械;contraption;;かい;かせ;onyomi;;20
k_倒;kanji;倒;overthrow, collapse;;とう;たお;onyomi;;20
k_臭;kanji;臭;stinking, stinky, smelly;;しゅう;くさ;kunyomi;;20
k_議;kanji;議;deliberation, discussion;;ぎ;;onyomi;;20
k_犯;kanji;犯;crime;;はん;おか;onyomi;;20
k_罪;kanji;罪;guilt;;ざい;つみ;onyomi;;20
k_動;kanji;動;move;;どう;うご;onyomi;;12
k_新;kanji;新;new;;しん;あたら, あら, にい;onyomi;;9
k_紀;kanji;紀;account, narrative;;き;;onyomi;;15
k_敵;kanji;敵;enemy;;てき;かな, かたき;onyomi;;21
k_済;kanji;済;come to an end;;さい;す;onyomi;;21
k_委;kanji;委;committee;;い;;onyomi;;21
k_命;kanji;命;fate;;めい, みょう;いのち;onyomi;;11
k_塩;kanji;塩;salt;;えん;しお;kunyomi;;17
k_務;kanji;務;task;;む;つと;onyomi;;21
k_資;kanji;資;resources;;し;;onyomi;;21
k_素;kanji;素;element;;そ, す;;onyomi;;21
k_指;kanji;指;finger;;し;ゆび, さ;onyomi;;11
k_警;kanji;警;warn, admonish;;けい;;onyomi;;17
k_早;kanji;早;early, fast, quick;;そう;はや, さ;onyomi;;4
k_何;kanji;何;what;;か;なに, なん;kunyomi;;5
k_流;kanji;流;stream;;りゅう, る;なが;onyomi;;12
k_断;kanji;断;cut off;;だん;ことわ, た;onyomi;;21
k_急;kanji;急;hurry;;きゅう;いそ;onyomi;;16
k_忘;kanji;忘;forget;;ぼう;わす;onyomi;;18
k_制;kanji;制;control, system;;せい;;onyomi;;21
k_省;kanji;省;conserve;;しょう, せい;はぶ;onyomi;;21
k_際;kanji;際;occasion;;さい;きわ;onyomi;;21
k_族;kanji;族;tribe, family;;ぞく;;onyomi;;12
k_険;kanji;険;risky, steep;;けん;けわ;onyomi;;16
k_空;kanji;空;sky, empty;;くう;そら, あ, から, す;onyomi;;5
k_希;kanji;希;wish;;き;まれ;onyomi;;14
k_存;kanji;存;exist, suppose;;そん, ぞん;;onyomi;;16
k_方;kanji;方;direction, way;;ほう;かた;onyomi;;3
k_薬;kanji;薬;medicine, drug, drugs;;やく;くすり;onyomi;;17
k_舌;kanji;舌;tongue;;ぜつ;した;kunyomi;;19
k_災;kanji;災;disaster;;さい;わざわ;onyomi;;20
k_罰;kanji;罰;penalty, punishment;;ばつ;ばっ;onyomi;;22
k_各;kanji;各;each;;かく;おの;onyomi;;22
k_基;kanji;基;foundation;;き;もと;onyomi;;14
k_試;kanji;試;try, attempt;;し;こころ, ため;onyomi;;9
k_童;kanji;童;juvenile;;どう;;onyomi;;12
k_熱;kanji;熱;heat, fever;;ねつ;あつ;onyomi;;13
k_非;kanji;非;injustice, negative, mistake;;ひ;;onyomi;;17
k_害;kanji;害;damage, injury, harm;;がい;;onyomi;;20
k_確;kanji;確;certain;;かく;たし;onyomi;;20
k_亡;kanji;亡;death, deceased;;ぼう;な;onyomi;;6
k_冗;kanji;冗;superfluous, unnecessary, uselessness;;じょう;;onyomi;;16
k_示;kanji;示;indicate, show;;じ, し;しめ;onyomi;;22
k_提;kanji;提;present, submit;;てい;;onyomi;;22
k_商;kanji;商;merchandise;;しょう;あきな;onyomi;;12
k_寺;kanji;寺;temple;;じ;てら;kunyomi;;15
k_干;kanji;干;dry;;かん;ほ, ひ;onyomi;;17
k_缶;kanji;缶;can, tin can;;かん;;onyomi;;44
k_認;kanji;認;recognize;;にん;みと;onyomi;;21
k_援;kanji;援;aid, assist;;えん;;onyomi;;22
k_態;kanji;態;appearance;;たい;わざ;onyomi;;22
k_護;kanji;護;defend;;ご;;onyomi;;23
k_導;kanji;導;lead;;どう;みちび;onyomi;;23
k_優;kanji;優;superior, gentle;;ゆう;やさ, すぐ;onyomi;;23
k_姫;kanji;姫;princess;;;ひめ;kunyomi;;44
k_胴;kanji;胴;torso;;どう;;onyomi;;47
k_派;kanji;派;sect;;は;;onyomi;;21
k_剤;kanji;剤;dose;;ざい;;onyomi;;40
k_沢;kanji;沢;swamp;;たく;さわ;onyomi;;23
k_雑;kanji;雑;random, miscellaneous;;ざつ, ぞう;;onyomi;;32
k_聖;kanji;聖;holy;;せい;;onyomi;;34
k_括;kanji;括;fasten;;かつ;くく;onyomi;;42
k_宮;kanji;宮;shinto shrine, shrine, palace;;きゅう;みや;kunyomi;;22
k_俳;kanji;俳;haiku;;はい;;onyomi;;23
k_額;kanji;額;amount, framed picture, forehead;;がく;ひたい;onyomi;;24
k_悔;kanji;悔;regret;;かい;くや, く;onyomi;;48
k_並;kanji;並;line up;;へい;なら, なみ;onyomi;;28
k_貧;kanji;貧;poor;;びん, ひん;まず;onyomi;;30
k_致;kanji;致;do;;ち;いた;onyomi;;38
k_肝;kanji;肝;liver;;かん;きも;onyomi;;42
k_違;kanji;違;different;;い;ちが;kunyomi;;24
k_兼;kanji;兼;concurrently;;けん;か;onyomi;;40
k_懇;kanji;懇;courteous;;こん;;onyomi;;43
k_悟;kanji;悟;comprehension;;ご;さと;onyomi;;49
k_祝;kanji;祝;celebrate;;しゅく, しゅう;いわ;onyomi;;24
k_狭;kanji;狭;narrow;;きょう;せま, せば;kunyomi;;24
k_腕;kanji;腕;arm;;わん;うで;kunyomi;;24
k_席;kanji;席;seat;;せき;;onyomi;;17
k_統;kanji;統;unite;;とう;す;onyomi;;22
k_腰;kanji;腰;waist;;よう;こし;kunyomi;;24
k_裁;kanji;裁;judge;;さい;さば, た;onyomi;;23
k_庁;kanji;庁;agency, government office;;ちょう;;onyomi;;24
k_房;kanji;房;cluster;;ぼう;ふさ;onyomi;;38
k_逃;kanji;逃;escape;;とう;に, のが, の;onyomi;;38
k_樹;kanji;樹;wood;;じゅ;き;onyomi;;41
k_吐;kanji;吐;throw up, spit, vomit;;と;は, つ;kunyomi;;34
k_昭;kanji;昭;shining;;しょう;;onyomi;;37
k_象;kanji;象;elephant, phenomenon;;ぞう, しょう;;onyomi;;24
k_供;kanji;供;servant, companion;;きょう;とも, そな;onyomi;;24
k_展;kanji;展;expand;;てん;のぶ, のび;onyomi;;24
k_構;kanji;構;set up, care;;こう;かま;onyomi;;25
k_属;kanji;属;belong;;ぞく;;onyomi;;25
k_慣;kanji;慣;accustomed;;かん;な;onyomi;;25
k_豊;kanji;豊;plentiful;;ほう;ゆた;onyomi;;25
k_満;kanji;満;full;;まん;み;onyomi;;25
k_替;kanji;替;replace, exchange;;たい;か;kunyomi;;25
k_授;kanji;授;instruct;;じゅ;さず;onyomi;;26
k_境;kanji;境;boundary;;きょう;さかい;onyomi;;24
k_印;kanji;印;seal, mark;;いん;しるし;onyomi;;26
k_抑;kanji;抑;suppress;;よく;おさ;onyomi;;38
k_礎;kanji;礎;foundation;;そ;いしずえ;onyomi;;49
k_筆;kanji;筆;writing brush;;ひつ;ふで;onyomi;;26
k_暇;kanji;暇;spare time, free time;;か;ひま, いとま;onyomi;;27
k_怒;kanji;怒;angry, anger;;ど;おこ, いか;onyomi;;27
k_睡;kanji;睡;drowsy;;すい;;onyomi;;27
k_端;kanji;端;edge;;たん;はし, はた;onyomi;;27
k_獄;kanji;獄;prison;;ごく;;onyomi;;35
k_伊;kanji;伊;italy;;い;だ;onyomi;;47
k_極;kanji;極;extreme;;きょく, ごく;きわ;onyomi;;27
k_逆;kanji;逆;reverse, opposite;;ぎゃく;さか;onyomi;;28
k_潔;kanji;潔;pure;;けつ;いさぎよ;onyomi;;28
k_録;kanji;録;record;;ろく;;onyomi;;28
k_修;kanji;修;discipline;;しゅう;おさ;onyomi;;28
k_券;kanji;券;ticket;;けん;;onyomi;;28
k_程;kanji;程;extent;;てい;ほど;onyomi;;28
k_監;kanji;監;oversee;;かん;;onyomi;;29
k_請;kanji;請;request;;せい, しん, しょう;う, こ;onyomi;;29
k_雄;kanji;雄;male, brave;;ゆう;おす;onyomi;;29
k_臣;kanji;臣;servant, retainer;;しん, じん;;onyomi;;29
k_嘆;kanji;嘆;sigh;;たん;なげ;onyomi;;31
k_遣;kanji;遣;dispatch;;けん;つか, や;onyomi;;37
k_徹;kanji;徹;penetrate, clear;;てつ;;onyomi;;41
k_嫁;kanji;嫁;bride;;か;よめ, とつ;kunyomi;;45
k_斤;kanji;斤;axe, bread loaf counter;;きん;;onyomi;;5
k_浅;kanji;浅;shallow;;せん;あさ;kunyomi;;15
k_率;kanji;率;percent, percentage;;りつ, そつ;ひき;onyomi;;20
k_散;kanji;散;scatter;;さん;ち;onyomi;;31
k_星;kanji;星;star;;せい;ほし;onyomi;;6
k_脈;kanji;脈;vein;;みゃく;;onyomi;;31
k_採;kanji;採;gather;;さい;と;onyomi;;32
k_液;kanji;液;fluid, liquid;;えき;;onyomi;;32
k_傷;kanji;傷;wound;;しょう;きず, いた;onyomi;;32
k_秘;kanji;秘;secret;;ひ;ひ;onyomi;;32
k_注;kanji;注;pour;;ちゅう;そそ, さ, つ;onyomi;;11
k_尊;kanji;尊;revered;;そん;とうと, たっと;onyomi;;33
k_異;kanji;異;differ;;い;こと;onyomi;;33
k_皇;kanji;皇;emperor;;こう;;onyomi;;33
k_盛;kanji;盛;pile, prosperous, heap;;せい, じょう;も, さか;onyomi;;33
k_著;kanji;著;author;;ちょ;いちじる, あらわ;onyomi;;33
k_縦;kanji;縦;vertical;;じゅう;たて;kunyomi;;34
k_測;kanji;測;measure;;そく;はか;onyomi;;35
k_恥;kanji;恥;shame;;ち;は, はじ;kunyomi;;35
k_酔;kanji;酔;drunk;;すい;よ;onyomi;;35
k_湖;kanji;湖;lake;;こ;みずうみ;onyomi;;35
k_頼;kanji;頼;trust;;らい;たの, たよ;onyomi;;36
k_旬;kanji;旬;in season, time of month, season;;しゅん, じゅん;;onyomi;;37
k_聴;kanji;聴;listen;;ちょう;き;onyomi;;37
k_闘;kanji;闘;struggle;;とう;たたか;onyomi;;37
k_需;kanji;需;demand;;じゅ;;onyomi;;38
k_却;kanji;却;contrary;;きゃく;かえって;onyomi;;38
k_慮;kanji;慮;consider;;りょ;おもんぱく, おもんぱか;onyomi;;38
k_懸;kanji;懸;suspend;;けん;か;onyomi;;38
k_贈;kanji;贈;presents;;ぞう;おく;onyomi;;38
k_鈴;kanji;鈴;buzzer, small bell;;りん;すず;onyomi;;39
k_秒;kanji;秒;second;;びょう;;onyomi;;11
k_壁;kanji;壁;wall;;へき;かべ;kunyomi;;39
k_圏;kanji;圏;range, sphere;;けん;;onyomi;;39
k_項;kanji;項;paragraph;;こう;;onyomi;;39
k_鋼;kanji;鋼;steel;;こう;はがね;onyomi;;39
k_排;kanji;排;reject, refuse;;はい;;onyomi;;40
k_茂;kanji;茂;luxuriant;;も;しげ;onyomi;;40
k_遜;kanji;遜;humble;;そん;したが;onyomi;;41
k_至;kanji;至;attain;;し;いた;onyomi;;41
k_哲;kanji;哲;philosophy;;てつ;;onyomi;;42
k_斎;kanji;斎;purification;;さい;いつ;onyomi;;42
k_潟;kanji;潟;lagoon;;せき;かた;kunyomi;;42
k_飛;kanji;飛;fly;;ひ;と;onyomi;;20
k_焦;kanji;焦;char;;しょう;こ, あせ;onyomi;;42
k_紛;kanji;紛;distract;;ふん;まぎ, まぐ;onyomi;;42
k_襲;kanji;襲;attack;;しゅう;おそ;onyomi;;43
k_朗;kanji;朗;bright;;ろう;ほが;onyomi;;43
k_翼;kanji;翼;wing;;よく;つばさ;onyomi;;44
k_謎;kanji;謎;riddle;;;なぞ;kunyomi;;44
k_涙;kanji;涙;teardrop;;るい;なみだ;onyomi;;44
k_磨;kanji;磨;polish;;ま;みが;kunyomi;;45
k_菌;kanji;菌;bacteria;;きん;;onyomi;;45
k_鍵;kanji;鍵;key;;けん;かぎ;kunyomi;;46
k_癖;kanji;癖;habit;;へき;くせ;kunyomi;;46
k_畳;kanji;畳;tatami mat;;じょう;たたみ;onyomi;;47
k_瞭;kanji;瞭;clear;;りょう;;onyomi;;47
k_貼;kanji;貼;paste;;ちょう;は;kunyomi;;48
k_尼;kanji;尼;nun;;に;あま;onyomi;;49
k_劣;kanji;劣;inferiority;;れつ;おと;onyomi;;49
k_峰;kanji;峰;summit;;ほう;みね;onyomi;;50
k_邪;kanji;邪;wicked;;じゃ;よこし;onyomi;;50
k_堤;kanji;堤;embankment;;てい;つつみ;onyomi;;50
k_伯;kanji;伯;chief;;はく, お;;onyomi;;50
k_把;kanji;把;bundle, grasp;;は, わ;;onyomi;;50
k_孔;kanji;孔;cavity, hole;;こう;あな;onyomi;;46
